Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 0  |  21.00  |  48.00  |  40.00  |  37.00  |  20.00  |  0.00  |  
 Sample index : 1  |  22.00  |  45.00  |  40.00  |  39.00  |  20.00  |  0.00  |  
 Sample index : 2  |  21.00  |  44.00  |  40.00  |  37.00  |  19.00  |  0.00  |  
 Sample index : 3  |  20.00  |  45.00  |  39.00  |  35.00  |  19.00  |  0.00  |  
 Sample index : 4  |  20.00  |  42.00  |  38.00  |  36.00  |  21.00  |  0.00  |  
 Sample index : 5  |  20.00  |  40.00  |  37.00  |  38.00  |  18.00  |  0.00  |  
 Sample index : 6  |  20.00  |  42.00  |  38.00  |  37.00  |  14.00  |  0.00  |  
 Sample index : 7  |  21.00  |  42.00  |  37.00  |  35.00  |  13.00  |  0.00  |  
 Sample index : 8  |  21.00  |  40.00  |  35.00  |  35.00  |  10.00  |  0.00  |  
 Sample index : 9  |  22.00  |  40.00  |  37.00  |  36.00  |  10.00  |  0.00  |  
 Sample index : 10  |  25.00  |  42.00  |  37.00  |  36.00  |  7.00  |  0.00  |  
 Sample index : 11  |  24.00  |  41.00  |  35.00  |  35.00  |  5.00  |  0.00  |  
 Sample index : 12  |  23.00  |  42.00  |  36.00  |  34.00  |  5.00  |  0.00  |  
 Sample index : 13  |  21.00  |  42.00  |  36.00  |  36.00  |  5.00  |  0.00  |  
 Sample index : 14  |  22.00  |  40.00  |  35.00  |  36.00  |  5.00  |  0.00  |  
 Sample index : 15  |  23.00  |  40.00  |  34.00  |  33.00  |  7.00  |  0.00  |  
 Sample index : 16  |  21.00  |  38.00  |  36.00  |  34.00  |  9.00  |  0.00  |  
 Sample index : 17  |  22.00  |  39.00  |  37.00  |  35.00  |  9.00  |  0.00  |  
 Sample index : 18  |  19.00  |  40.00  |  34.00  |  34.00  |  11.00  |  0.00  |  
 Sample index : 19  |  20.00  |  37.00  |  37.00  |  33.00  |  16.00  |  0.00  |  
 Sample index : 20  |  20.00  |  38.00  |  37.00  |  32.00  |  21.00  |  0.00  |  
 Sample index : 21  |  17.00  |  39.00  |  34.00  |  33.00  |  20.00  |  0.00  |  
 Sample index : 22  |  18.00  |  38.00  |  32.00  |  33.00  |  21.00  |  0.00  |  
 Sample index : 23  |  18.00  |  36.00  |  33.00  |  34.00  |  24.00  |  0.00  |  
 Sample index : 24  |  18.00  |  39.00  |  34.00  |  33.00  |  23.00  |  0.00  |  
 Sample index : 25  |  18.00  |  38.00  |  33.00  |  32.00  |  21.00  |  0.00  |  
 Sample index : 26  |  17.00  |  35.00  |  32.00  |  32.00  |  20.00  |  0.00  |  
 Sample index : 27  |  17.00  |  34.00  |  34.00  |  31.00  |  20.00  |  0.00  |  
 Sample index : 28  |  15.00  |  36.00  |  34.00  |  33.00  |  16.00  |  0.00  |  
 Sample index : 29  |  16.00  |  34.00  |  33.00  |  33.00  |  15.00  |  0.00  |  
 Sample index : 30  |  16.00  |  34.00  |  33.00  |  32.00  |  17.00  |  0.00  |  
 Sample index : 31  |  16.00  |  34.00  |  33.00  |  32.00  |  15.00  |  0.00  |  
 Sample index : 32  |  17.00  |  34.00  |  31.00  |  31.00  |  12.00  |  0.00  |  
 Sample index : 33  |  15.00  |  34.00  |  33.00  |  31.00  |  11.00  |  0.00  |  
 Sample index : 34  |  16.00  |  34.00  |  34.00  |  32.00  |  11.00  |  0.00  |  
 Sample index : 35  |  15.00  |  32.00  |  32.00  |  32.00  |  7.00  |  0.00  |  
 Sample index : 36  |  14.00  |  35.00  |  32.00  |  31.00  |  6.00  |  0.00  |  
 Sample index : 37  |  13.00  |  36.00  |  33.00  |  31.00  |  7.00  |  0.00  |  
 Sample index : 38  |  14.00  |  34.00  |  33.00  |  31.00  |  6.00  |  0.00  |  
 Sample index : 39  |  15.00  |  32.00  |  29.00  |  31.00  |  5.00  |  0.00  |  
 Sample index : 40  |  13.00  |  34.00  |  31.00  |  30.00  |  8.00  |  0.00  |  
 Sample index : 41  |  16.00  |  35.00  |  32.00  |  30.00  |  9.00  |  0.00  |  
 Sample index : 42  |  15.00  |  32.00  |  29.00  |  30.00  |  8.00  |  0.00  |  
 Sample index : 43  |  13.00  |  32.00  |  30.00  |  30.00  |  11.00  |  0.00  |  
 Sample index : 44  |  14.00  |  33.00  |  33.00  |  29.00  |  14.00  |  0.00  |  
 Sample index : 45  |  12.00  |  30.00  |  31.00  |  29.00  |  15.00  |  0.00  |  
 Sample index : 46  |  12.00  |  30.00  |  29.00  |  30.00  |  17.00  |  0.00  |  
 Sample index : 47  |  13.00  |  31.00  |  29.00  |  30.00  |  18.00  |  0.00  |  
 Sample index : 48  |  15.00  |  30.00  |  28.00  |  29.00  |  17.00  |  0.00  |  
 Sample index : 49  |  14.00  |  30.00  |  29.00  |  29.00  |  16.00  |  0.00  |  
 Sample index : 50  |  15.00  |  30.00  |  28.00  |  30.00  |  17.00  |  0.00  |  
 Sample index : 51  |  16.00  |  30.00  |  30.00  |  30.00  |  15.00  |  0.00  |  
 Sample index : 52  |  15.00  |  30.00  |  30.00  |  28.00  |  13.00  |  0.00  |  
 Sample index : 53  |  16.00  |  31.00  |  30.00  |  28.00  |  12.00  |  0.00  |  
 Sample index : 54  |  15.00  |  31.00  |  30.00  |  29.00  |  10.00  |  0.00  |  
 Sample index : 55  |  15.00  |  29.00  |  28.00  |  29.00  |  7.00  |  0.00  |  
 Sample index : 56  |  15.00  |  28.00  |  29.00  |  28.00  |  7.00  |  0.00  |  
 Sample index : 57  |  15.00  |  28.00  |  28.00  |  28.00  |  5.00  |  0.00  |  
 Sample index : 58  |  15.00  |  29.00  |  27.00  |  25.00  |  4.00  |  0.00  |  
 Sample index : 59  |  14.00  |  29.00  |  28.00  |  31.00  |  6.00  |  0.00  |  
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 0  |  0.00  |  27.00  |  26.00  |  24.00  |  11.00  |  0.00  |  
 Sample index : 1  |  0.00  |  28.00  |  26.00  |  22.00  |  12.00  |  0.00  |  
 Sample index : 2  |  0.00  |  31.00  |  23.00  |  21.00  |  14.00  |  0.00  |  
 Sample index : 3  |  0.00  |  27.00  |  23.00  |  23.00  |  12.00  |  0.00  |  
 Sample index : 4  |  0.00  |  28.00  |  23.00  |  24.00  |  12.00  |  0.00  |  
 Sample index : 5  |  0.00  |  28.00  |  23.00  |  22.00  |  12.00  |  0.00  |  
 Sample index : 6  |  0.00  |  26.00  |  21.00  |  21.00  |  11.00  |  0.00  |  
 Sample index : 7  |  0.00  |  28.00  |  21.00  |  22.00  |  11.00  |  0.00  |  
 Sample index : 8  |  0.00  |  27.00  |  25.00  |  23.00  |  11.00  |  0.00  |  
 Sample index : 9  |  0.00  |  27.00  |  24.00  |  20.00  |  11.00  |  0.00  |  
 Sample index : 10  |  0.00  |  27.00  |  20.00  |  21.00  |  12.00  |  0.00  |  
 Sample index : 11  |  0.00  |  25.00  |  25.00  |  22.00  |  12.00  |  0.00  |  
 Sample index : 12  |  0.00  |  28.00  |  23.00  |  21.00  |  9.00  |  0.00  |  
 Sample index : 13  |  0.00  |  25.00  |  16.00  |  21.00  |  11.00  |  0.00  |  
 Sample index : 14  |  0.00  |  22.00  |  24.00  |  20.00  |  12.00  |  0.00  |  
 Sample index : 15  |  0.00  |  25.00  |  25.00  |  22.00  |  9.00  |  0.00  |  
 Sample index : 16  |  0.00  |  27.00  |  20.00  |  22.00  |  10.00  |  0.00  |  
 Sample index : 17  |  0.00  |  21.00  |  25.00  |  20.00  |  11.00  |  0.00  |  
 Sample index : 18  |  0.00  |  22.00  |  22.00  |  20.00  |  11.00  |  0.00  |  
 Sample index : 19  |  0.00  |  26.00  |  20.00  |  20.00  |  11.00  |  0.00  |  
 Sample index : 20  |  0.00  |  25.00  |  23.00  |  19.00  |  11.00  |  0.00  |  
 Sample index : 21  |  0.00  |  23.00  |  18.00  |  21.00  |  10.00  |  0.00  |  
 Sample index : 22  |  0.00  |  23.00  |  21.00  |  20.00  |  11.00  |  0.00  |  
 Sample index : 23  |  0.00  |  26.00  |  24.00  |  19.00  |  11.00  |  0.00  |  
 Sample index : 24  |  0.00  |  24.00  |  18.00  |  20.00  |  10.00  |  0.00  |  
 Sample index : 25  |  0.00  |  21.00  |  21.00  |  19.00  |  12.00  |  0.00  |  
 Sample index : 26  |  0.00  |  23.00  |  22.00  |  19.00  |  11.00  |  0.00  |  
 Sample index : 27  |  0.00  |  22.00  |  19.00  |  20.00  |  10.00  |  0.00  |  
 Sample index : 28  |  0.00  |  22.00  |  20.00  |  19.00  |  10.00  |  0.00  |  
 Sample index : 29  |  0.00  |  22.00  |  21.00  |  20.00  |  12.00  |  0.00  |  
 Sample index : 30  |  0.00  |  21.00  |  19.00  |  19.00  |  9.00  |  0.00  |  
 Sample index : 31  |  0.00  |  21.00  |  18.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 32  |  0.00  |  23.00  |  24.00  |  19.00  |  11.00  |  0.00  |  
 Sample index : 33  |  1.00  |  22.00  |  21.00  |  20.00  |  10.00  |  0.00  |  
 Sample index : 34  |  0.00  |  20.00  |  17.00  |  19.00  |  9.00  |  0.00  |  
 Sample index : 35  |  0.00  |  24.00  |  22.00  |  17.00  |  11.00  |  0.00  |  
 Sample index : 36  |  0.00  |  22.00  |  21.00  |  19.00  |  10.00  |  0.00  |  
 Sample index : 37  |  0.00  |  20.00  |  18.00  |  19.00  |  8.00  |  0.00  |  
 Sample index : 38  |  0.00  |  22.00  |  21.00  |  19.00  |  10.00  |  0.00  |  
 Sample index : 39  |  0.00  |  22.00  |  18.00  |  19.00  |  11.00  |  0.00  |  
 Sample index : 40  |  0.00  |  21.00  |  20.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 41  |  0.00  |  21.00  |  20.00  |  19.00  |  9.00  |  0.00  |  
 Sample index : 42  |  0.00  |  21.00  |  16.00  |  19.00  |  12.00  |  0.00  |  
 Sample index : 43  |  0.00  |  21.00  |  23.00  |  17.00  |  10.00  |  0.00  |  
 Sample index : 44  |  0.00  |  20.00  |  19.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 45  |  0.00  |  19.00  |  16.00  |  19.00  |  12.00  |  0.00  |  
 Sample index : 46  |  0.00  |  22.00  |  20.00  |  17.00  |  9.00  |  0.00  |  
 Sample index : 47  |  0.00  |  20.00  |  17.00  |  18.00  |  9.00  |  0.00  |  
 Sample index : 48  |  0.00  |  17.00  |  16.00  |  19.00  |  10.00  |  0.00  |  
