Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 0  ,  14.00  ,  22.00  ,  26.00  ,  5.00  ,  4.00  ,  1.00  
Sample index : 1  ,  15.00  ,  19.00  ,  26.00  ,  5.00  ,  5.00  ,  1.00  
Sample index : 2  ,  17.00  ,  20.00  ,  24.00  ,  3.00  ,  5.00  ,  1.00  
Sample index : 3  ,  17.00  ,  17.00  ,  26.00  ,  3.00  ,  3.00  ,  1.00  
Sample index : 4  ,  19.00  ,  17.00  ,  26.00  ,  4.00  ,  3.00  ,  1.00  
Sample index : 5  ,  19.00  ,  18.00  ,  25.00  ,  4.00  ,  5.00  ,  0.00  
Sample index : 6  ,  18.00  ,  18.00  ,  26.00  ,  4.00  ,  3.00  ,  1.00  
Sample index : 7  ,  18.00  ,  18.00  ,  26.00  ,  3.00  ,  3.00  ,  1.00  
Sample index : 8  ,  16.00  ,  18.00  ,  25.00  ,  4.00  ,  4.00  ,  1.00  
Sample index : 9  ,  15.00  ,  21.00  ,  24.00  ,  5.00  ,  4.00  ,  1.00  
Sample index : 10  ,  15.00  ,  20.00  ,  26.00  ,  4.00  ,  4.00  ,  1.00  
Sample index : 11  ,  17.00  ,  18.00  ,  27.00  ,  3.00  ,  4.00  ,  1.00  
Sample index : 12  ,  17.00  ,  19.00  ,  25.00  ,  3.00  ,  5.00  ,  1.00  
Sample index : 13  ,  17.00  ,  18.00  ,  26.00  ,  4.00  ,  5.00  ,  0.00  
Sample index : 14  ,  19.00  ,  18.00  ,  26.00  ,  3.00  ,  6.00  ,  1.00  
Sample index : 15  ,  20.00  ,  18.00  ,  25.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 16  ,  18.00  ,  18.00  ,  24.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 17  ,  17.00  ,  17.00  ,  23.00  ,  3.00  ,  6.00  ,  1.00  
Sample index : 18  ,  15.00  ,  16.00  ,  23.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 19  ,  13.00  ,  17.00  ,  24.00  ,  3.00  ,  4.00  ,  1.00  
Sample index : 20  ,  14.00  ,  16.00  ,  24.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 21  ,  16.00  ,  15.00  ,  24.00  ,  3.00  ,  6.00  ,  0.00  
Sample index : 22  ,  14.00  ,  16.00  ,  25.00  ,  3.00  ,  4.00  ,  0.00  
Sample index : 23  ,  15.00  ,  16.00  ,  23.00  ,  4.00  ,  4.00  ,  0.00  
Sample index : 24  ,  17.00  ,  16.00  ,  24.00  ,  2.00  ,  4.00  ,  0.00  
Sample index : 25  ,  16.00  ,  17.00  ,  23.00  ,  2.00  ,  3.00  ,  0.00  
Sample index : 26  ,  13.00  ,  18.00  ,  22.00  ,  3.00  ,  3.00  ,  0.00  
