
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 0  |  98.00  |  84.00  |  93.00  |  61.00  |  66.00  |  0.00  |  
 Sample index : 1  |  99.00  |  87.00  |  101.00  |  60.00  |  67.00  |  0.00  |  
 Sample index : 2  |  98.00  |  84.00  |  87.00  |  60.00  |  66.00  |  0.00  |  
 Sample index : 3  |  95.00  |  83.00  |  80.00  |  60.00  |  66.00  |  0.00  |  
 Sample index : 4  |  99.00  |  85.00  |  83.00  |  60.00  |  68.00  |  0.00  |  
 Sample index : 5  |  96.00  |  83.00  |  71.00  |  59.00  |  66.00  |  0.00  |  
 Sample index : 6  |  93.00  |  81.00  |  69.00  |  58.00  |  64.00  |  0.00  |  
 Sample index : 7  |  96.00  |  80.00  |  76.00  |  58.00  |  66.00  |  0.00  |  
 Sample index : 8  |  95.00  |  78.00  |  78.00  |  59.00  |  66.00  |  0.00  |  
 Sample index : 9  |  94.00  |  78.00  |  83.00  |  58.00  |  64.00  |  0.00  |  
 Sample index : 10  |  96.00  |  79.00  |  86.00  |  56.00  |  65.00  |  0.00  |  
 Sample index : 11  |  95.00  |  78.00  |  87.00  |  58.00  |  65.00  |  0.00  |  
 Sample index : 12  |  93.00  |  77.00  |  85.00  |  58.00  |  64.00  |  0.00  |  
 Sample index : 13  |  95.00  |  78.00  |  79.00  |  58.00  |  64.00  |  0.00  |  
 Sample index : 14  |  93.00  |  75.00  |  78.00  |  56.00  |  64.00  |  0.00  |  
 Sample index : 15  |  92.00  |  73.00  |  76.00  |  56.00  |  64.00  |  0.00  |  
 Sample index : 16  |  93.00  |  75.00  |  70.00  |  55.00  |  63.00  |  0.00  |  
 Sample index : 17  |  92.00  |  74.00  |  73.00  |  56.00  |  62.00  |  0.00  |  
 Sample index : 18  |  89.00  |  74.00  |  77.00  |  54.00  |  63.00  |  0.00  |  
 Sample index : 19  |  90.00  |  74.00  |  78.00  |  56.00  |  63.00  |  0.00  |  
 Sample index : 20  |  90.00  |  72.00  |  77.00  |  55.00  |  62.00  |  0.00  |  
 Sample index : 21  |  89.00  |  71.00  |  78.00  |  52.00  |  62.00  |  0.00  |  
 Sample index : 22  |  88.00  |  72.00  |  76.00  |  53.00  |  63.00  |  0.00  |  
 Sample index : 23  |  90.00  |  68.00  |  72.00  |  53.00  |  61.00  |  0.00  |  
